Commercial,Industrial,Residential,Transportation
9714.179127,7361.003496,22449.22286,21311.44631
11087.27398,7859.595886,31711.97153,39075.56493
9629.467673,7804.505591,29931.30102,44476.66415
8555.337116,7840.242516,20762.60771,43531.96137
7835.851243,7542.4486,22645.02465,47500.53419
7653.645063,7541.650277,25646.95871,57450.06575
7879.324095,7607.665687,23519.42285,65315.11508
7840.881661,7637.563055,22499.25204,67767.55432
7834.931876,7573.844379,22667.56448,76641.88698
7869.501124,7469.793606,20945.70316,101818.9335
7985.976096,7339.074583,22923.89649,133444.6983
3112.947704,7272.836109,27579.42972,158287.8052
3021.122252,7320.998664,32894.21795,128738.5354
2874.363165,7486.920261,34756.11715,76098.25733
2661.084889,7555.388897,35601.27987,55448.98539
2497.551029,7366.709992,32811.3533,42216.22124
2336.626991,7146.074468,23699.69015,35932.04752
2241.723807,6894.271597,16598.72651,26946.87964
2149.327534,6532.891001,11158.43772,18418.2051
2101.875058,6382.481783,7976.681624,13989.65472
2081.897149,6373.787004,4654.45462,10850.51205
